State,Prevalence,95% CI
Alabama,36.0,"(34.8, 37.3)"
Alaska,30.6,"(29.3, 32.0)"
Arizona,27.9,"(27.0, 28.9)"
Arkansas,36.6,"(35.4, 37.8)"
California,25.8,"(24.6, 27.1)"
Colorado,23.2,"(22.5, 24.0)"
Connecticut,28.3,"(27.2, 29.3)"
Delaware,33.5,"(32.0, 34.9)"
District of Columbia,12.9,"(11.6, 14.3)"
Florida,Insufficient data*,Insufficient data*
Georgia,32.6,"(31.5, 33.8)"
Guam,20.1,"(15.9, 25.1)"
Hawaii,19.7,"(18.4, 21.2)"
Idaho,31.4,"(30.5, 32.4)"
Illinois,31.8,"(30.4, 33.3)"
Indiana,36.7,"(35.9, 37.5)"
Iowa,37.1,"(36.3, 37.9)"
Kansas,35.2,"(34.5, 35.9)"
Kentucky,38.0,"(36.8, 39.2)"
Louisiana,36.1,"(34.9, 37.4)"
Maine,31.9,"(31.1, 32.7)"
Maryland,30.2,"(29.4, 31.1)"
Massachusetts,26.1,"(25.2, 27.0)"
Michigan,34.3,"(33.4, 35.1)"
Minnesota,32.2,"(31.6, 32.8)"
Mississippi,34.8,"(33.5, 36.2)"
Missouri,35.5,"(34.6, 36.4)"
Montana,29.3,"(28.4, 30.2)"
Nebraska,35.2,"(34.4, 36.0)"
Nevada,31.3,"(29.5, 33.1)"
New Hampshire,30.5,"(29.5, 31.5)"
New Jersey,27.6,"(26.6, 28.6)"
New Mexico,25.7,"(24.3, 27.1)"
New York,27.9,"(27.2, 28.6)"
North Carolina,31.3,"(30.1, 32.5)"
North Dakota,34.3,"(33.2, 35.4)"
Ohio,36.7,"(36.0, 37.5)"
Oklahoma,37.4,"(36.2, 38.5)"
Oregon,29.3,"(28.4, 30.3)"
Pennsylvania,32.8,"(31.6, 34.1)"
Puerto Rico,Insufficient data*,Insufficient data*
Rhode Island,29.5,"(28.3, 30.8)"
South Carolina,32.6,"(31.6, 33.7)"
South Dakota,35.2,"(33.4, 37.0)"
Tennessee,35.0,"(33.8, 36.2)"
Texas,32.2,"(30.9, 33.4)"
Utah,29.6,"(28.8, 30.3)"
Vermont,27.5,"(26.5, 28.4)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,32.8,"(31.9, 33.7)"
Washington,30.3,"(29.7, 31.0)"
West Virginia,40.3,"(39.3, 41.3)"
Wisconsin,33.8,"(32.8, 34.8)"
Wyoming,31.5,"(30.3, 32.7)"
